Package Name,Package Type,Duration,Ratings,Discount,New Prices,Old Prices,Cities,1D Cities,2D Cities,3D Cities,Days,Nights,Discount_num,Ratings_num
"6-Day Kerala Adventure: Munnar, Alleppey & More",Customizable,6 Days & 5 Nights,3 Star,13% Off,50025,57500.0,Munnar (2D)Alleppey (1D)Kovalam (2D)Trivandrum (1D),"Alleppey, Trivandrum","Munnar, Kovalam",,6,5,13.0,3
4-Day Enchanting Kerala Tour with Houseboat & Munnar,Customizable,4 Days & 3 Nights,4 Star,12% Off,83424,94800.0,Alleppey (1D)Munnar (2D)Cochin (1D),"Alleppey, Cochin",Munnar,,4,3,12.0,4
6-Day Kerala Tour with Munnar and Alleppey Houseboat,Customizable,6 Days & 5 Nights,5 Star,14% Off,36808,42800.0,Kochi (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Kochi, Thekkady, Alleppey, Cochin",Munnar,,6,5,14.0,5
"Experience Kerala: Munnar, Thekkady, and Backwaters Tour",Customizable,5 Days & 4 Nights,3 Star,13% Off,21750,25000.0,Munnar (2D)Thekkady (1D)Kumarakom (1D)Cochin (1D),"Thekkady, Kumarakom, Cochin",Munnar,,5,4,13.0,3
3-Day Kerala Tour: Munnar Hills & Private Houseboat Experience,Customizable,3 Days & 2 Nights,3 Star,13% Off,13224,15200.0,Munnar (2D)Kerala (1D),Kerala,Munnar,,3,2,13.0,3
3-Day Scenic Munnar Tour from Cochin,Customizable,3 Days & 2 Nights,4 Star,12% Off,29128,33100.0,Munnar (2D)Cochin (1D),Cochin,Munnar,,3,2,12.0,4
5-Day Kerala Tour with Munnar and Alleppey Houseboat,Customizable,5 Days & 4 Nights,5 Star,12% Off,46200,52500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,12.0,5
"5-Day Kerala Tour with Munnar, Thekkady, and Houseboat Stay",Customizable,5 Days & 4 Nights,3 Star,15% Off,14450,17000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,15.0,3
3-Day Kerala Tour: Munnar's Scenic Beauty,Customizable,3 Days & 2 Nights,3 Star,9% Off,20748,22800.0,Munnar (2D)Kochi (1D),Kochi,Munnar,,3,2,9.0,3
"5-Day Kerala Tour Package: Munnar, Thekkady & Alleppey",Customizable,5 Days & 4 Nights,4 Star,13% Off,36540,42000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,13.0,4
"6-Day Kerala Escape to Munnar, Thekkady, and Backwaters",Customizable,6 Days & 5 Nights,3 Star,9% Off,28201,30990.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (1D)Trivandrum (1D),"Thekkady, Alleppey, Kovalam, Trivandrum",Munnar,,6,5,9.0,3
Romantic 5-Day Kerala Tour with Houseboat Stay,Customizable,5 Days & 4 Nights,3 Star,13% Off,49573,56980.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,13.0,3
7-Day Kerala Tour with Houseboat and Beach Stay,Customizable,7 Days & 6 Nights,3 Star,13% Off,28710,33000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Munnar, Kovalam",,7,6,13.0,3
"5-Day Kerala Tour Covering Munnar, Thekkady, and Alleppey",Customizable,5 Days & 4 Nights,4 Star,9% Off,54509,59900.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,9.0,4
7-Day Kerala Tour with Scenic Hills and Backwaters,Customizable,7 Days & 6 Nights,5 Star,15% Off,69275,81500.0,Munnar (2D)Thekkady (1D)Kumarakom (1D)Varkala (1D)Kovalam (1D)Trivandrum (1D),"Thekkady, Kumarakom, Varkala, Kovalam, Trivandrum",Munnar,,7,6,15.0,5
"5-Day Kerala Tour: Munnar, Thekkady & Alleppey Highlights",Customizable,5 Days & 4 Nights,3 Star,9% Off,32760,36000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,9.0,3
6-Day Kerala Tour with Houseboat Stay and Wildlife Safari,Customizable,6 Days & 5 Nights,3 Star,15% Off,10625,12500.0,Kochi (2D)Munnar (2D)Thekkady (1D)Alleppey (1D),"Thekkady, Alleppey","Kochi, Munnar",,6,5,15.0,3
3-Day Scenic Kerala Tour with Munnar Adventures,Customizable,3 Days & 2 Nights,3 Star,13% Off,74733,85900.0,Munnar (3D),,,Munnar,3,2,13.0,3
6-Day Kerala Tour with Munnar and Houseboat Stay,Customizable,6 Days & 5 Nights,4 Star,10% Off,34425,38250.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Varkala (1D)Kochi (1D),"Thekkady, Alleppey, Varkala, Kochi",Munnar,,6,5,10.0,4
"6-Day Kerala Adventure: Munnar, Thekkady & Alleppey",Customizable,6 Days & 5 Nights,5 Star,8% Off,45853,49840.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cherai (1D)Kochi (1D),"Thekkady, Alleppey, Cherai, Kochi",Munnar,,6,5,8.0,5
5-Day Kerala Tour from Munnar to Alleppey,Customizable,5 Days & 4 Nights,3 Star,11% Off,20915,23500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,11.0,3
4-Day Kerala Tour with Munnar and Alleppey Houseboat Stay,Customizable,4 Days & 3 Nights,4 Star,12% Off,19800,22500.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,12.0,4
4-Day Kerala Tour Covering Munnar and Alleppey,Customizable,4 Days & 3 Nights,5 Star,14% Off,82130,95500.0,Munnar (2D)Alleppey (1D),Alleppey,Munnar,,4,3,14.0,5
"7-Day Kerala Tour with Munnar, Thekkady, Alleppey, and More",Customizable,7 Days & 6 Nights,3 Star,15% Off,27370,32200.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Munnar, Kovalam",,7,6,15.0,3
"4-Day Kerala Tour: Munnar, Alleppey, and Cochin",Customizable,4 Days & 3 Nights,4 Star,13% Off,19662,22600.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,13.0,4
3-Day Kerala Tour: Munnar's Majestic Hills and Cochin Charm,Customizable,3 Days & 2 Nights,4 Star,11% Off,38270,43000.0,Munnar (2D)Cochin (1D),Cochin,Munnar,,3,2,11.0,4
"5-Day Kerala Tour: Munnar, Thekkady, Alleppey Houseboat & Cochin",Customizable,5 Days & 4 Nights,3 Star,11% Off,30616,34400.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,11.0,3
"4-Day Captivating Kerala Tour: Waterfalls, Tea Gardens, and Backwaters",Customizable,4 Days & 3 Nights,4 Star,9% Off,36855,40500.0,Munnar (2D)Alleppey (1D)Cochin (1D),"Alleppey, Cochin",Munnar,,4,3,9.0,4
"5-Day Kerala Tour with Munnar, Thekkady, and Alleppey",Customizable,5 Days & 4 Nights,5 Star,12% Off,114400,130000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,12.0,5
"7-Day Scenic Kerala Tour with Waterfalls, Wildlife, and Beaches",Customizable,7 Days & 6 Nights,3 Star,12% Off,30096,34200.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Munnar, Kovalam",,7,6,12.0,3
"5-Day Kerala Tour with Munnar, Thekkady, and Alleppey",Customizable,5 Days & 4 Nights,3 Star,14% Off,41280,48000.0,Kochi (2D)Munnar (1D)Thekkady (1D)Alleppey (1D),"Munnar, Thekkady, Alleppey",Kochi,,5,4,14.0,3
9-Day Kerala Tour with Munnar and Alleppey,Customizable,9 Days & 8 Nights,3 Star,10% Off,55440,61600.0,Kochi (2D)Munnar (2D)Thekkady (1D)Alleppey (1D)Varkala (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Kochi, Munnar, Varkala",,9,8,10.0,3
"6-Day Memorable Kerala Tour with Munnar, Thekkady, and Backwaters",Customizable,6 Days & 5 Nights,3 Star,15% Off,15980,18800.0,Kochi (2D)Munnar (2D)Thekkady (1D)Alleppey (1D),"Thekkady, Alleppey","Kochi, Munnar",,6,5,15.0,3
4-Day Kerala Tour: Munnar to Alleppey,Customizable,4 Days & 3 Nights,3 Star,9% Off,14196,15600.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,9.0,3
3-Day Kerala Tour Package: Munnar and Alleppey,Customizable,3 Days & 2 Nights,4 Star,11% Off,12015,13500.0,Munnar (1D)Alleppey (1D)Kochi (1D),"Munnar, Alleppey, Kochi",,,3,2,11.0,4
3-Day Kerala Tour: Discover Munnar's Natural Beauty,Customizable,3 Days & 2 Nights,3 Star,14% Off,28122,32700.0,Munnar (2D)Kochi (1D),Kochi,Munnar,,3,2,14.0,3
6-Day Kerala Tour with Munnar Hills and Alleppey Backwaters,Customizable,6 Days & 5 Nights,3 Star,11% Off,37299,41909.0,Kochi (2D)Munnar (2D)Thekkady (1D)Alleppey (1D),"Thekkady, Alleppey","Kochi, Munnar",,6,5,11.0,3
"7-Day Kerala Tour: Munnar, Thekkady, Beaches, and Backwaters",Customizable,7 Days & 6 Nights,3 Star,14% Off,33540,39000.0,Munnar (2D)Thekkady (1D)Kovalam (2D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi","Munnar, Kovalam",,7,6,14.0,3
"7-Day Kerala Tour with Munnar, Thekkady, and Backwaters",Customizable,7 Days & 6 Nights,4 Star,10% Off,23490,26100.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Kochi (1D),"Thekkady, Alleppey, Kochi","Munnar, Kovalam",,7,6,10.0,4
"5-Day Kerala Tour: Munnar, Thekkady, and Alleppey",Customizable,5 Days & 4 Nights,5 Star,8% Off,20240,22000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,8.0,5
Exciting 3-Day Kerala Tour: Explore Munnar's Natural Beauty,Customizable,3 Days & 2 Nights,3 Star,14% Off,27090,31500.0,Kochi (2D)Munnar (1D),Munnar,Kochi,,3,2,14.0,3
"3-Day Kerala Tour: Munnar, Alleppey & Cochin Highlights",Customizable,3 Days & 2 Nights,3 Star,12% Off,18040,20500.0,Kochi (2D)Alleppey (1D),Alleppey,Kochi,,3,2,12.0,3
3-Day Kerala Tour with Munnar's Scenic Beauty,Customizable,3 Days & 2 Nights,3 Star,14% Off,16684,19400.0,Munnar (2D)Kochi (1D),Kochi,Munnar,,3,2,14.0,3
5-Day Kerala Tour with Munnar & Thekkady Experience,Customizable,5 Days & 4 Nights,3 Star,8% Off,26680,29000.0,Munnar (2D)Thekkady (1D)Kochi (2D),Thekkady,"Munnar, Kochi",,5,4,8.0,3
2-Day Kerala Tour: Immerse in the Backwaters of Alleppey,Customizable,2 Days & 1 Nights,4 Star,8% Off,28520,31000.0,Alleppey (1D)Kochi (1D),"Alleppey, Kochi",,,2,1,8.0,4
4-Day Kerala Tour with Houseboat and Munnar Exploration,Customizable,4 Days & 3 Nights,3 Star,9% Off,12740,14000.0,Alleppey (1D)Munnar (2D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,9.0,3
3-Day Enchanting Kerala Tour to Munnar,Customizable,3 Days & 2 Nights,4 Star,11% Off,26255,29500.0,Munnar (2D),,Munnar,,3,2,11.0,4
4-Day Kerala Tour: Munnar and Alleppey's Backwaters,Customizable,4 Days & 3 Nights,4 Star,15% Off,37825,44500.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,15.0,4
"5-Day Kerala Tour: Munnar, Thekkady, and Alleppey",Customizable,5 Days & 4 Nights,3 Star,8% Off,39560,43000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,8.0,3
"7-Day Kerala Journey: Temples, Beaches & Backwaters",Customizable,7 Days & 6 Nights,3 Star,14% Off,45869,53336.0,Trivandrum (1D)Kovalam (1D)Varkala (1D)Alleppey (1D)Thekkady (1D)Munnar (1D),"Trivandrum, Kovalam, Varkala, Alleppey, Thekkady, Munnar",,,7,6,14.0,3
"Discover the Magic of Kerala: 6-Day Tour with Temples, Waterfalls, and Backwaters",Customizable,6 Days & 5 Nights,4 Star,8% Off,13800,15000.0,Guruvayoor (1D)Munnar (2D)Thekkady (1D)Alleppey (1D),"Guruvayoor, Thekkady, Alleppey",Munnar,,6,5,8.0,4
3-Day Kerala Tour: Munnar to Thekkady,Customizable,3 Days & 2 Nights,4 Star,11% Off,33820,38000.0,Munnar (2D),,Munnar,,3,2,11.0,4
3-Day Kerala Tour: Munnar and Alappuzha with Private Houseboat,Customizable,3 Days & 2 Nights,3 Star,13% Off,51765,59500.0,Munnar (1D)Alleppey (1D),"Munnar, Alleppey",,,3,2,13.0,3
"6-Day Enchanting Kerala Tour: Tea Gardens, Wildlife & Backwaters",Customizable,6 Days & 5 Nights,3 Star,11% Off,26700,30000.0,Munnar (2D)Thekkady (1D)Cochin (1D),"Thekkady, Cochin",Munnar,,6,5,11.0,3
"4-Day Kerala Tour: Athirappally, Munnar & Houseboat Experience",Customizable,4 Days & 3 Nights,3 Star,13% Off,8700,10000.0,Munnar (2D)Alleppey (1D)Cochin (1D),"Alleppey, Cochin",Munnar,,4,3,13.0,3
2-Day Romantic Kerala Houseboat Tour in Alleppey,Customizable,2 Days & 1 Nights,3 Star,11% Off,56404,63375.0,Alleppey (2D),,Alleppey,,2,1,11.0,3
"8-Day Kerala Tour with Beaches, Backwaters, and Hill Stations",Customizable,8 Days & 7 Nights,5 Star,12% Off,23760,27000.0,Kovalam (2D)Varkala (1D)Alleppey (1D)Thekkady (1D)Munnar (2D)Kochi (1D),"Varkala, Alleppey, Thekkady, Kochi","Kovalam, Munnar",,8,7,12.0,5
6-Day Kerala Tour with Munnar & Alleppey Highlights,Customizable,6 Days & 5 Nights,4 Star,11% Off,36935,41500.0,Kochi (2D)Munnar (3D)Alleppey (1D),Alleppey,Kochi,Munnar,6,5,11.0,4
Experience Kerala's Natural Beauty with a 5-Day Tour,Customizable,5 Days & 4 Nights,3 Star,12% Off,53284,60550.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,12.0,3
"5-Day Kerala Adventure: Waterfalls, Wildlife & Backwaters",Customizable,5 Days & 4 Nights,3 Star,12% Off,38610,43875.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,12.0,3
"6-Day Kerala Tour: Munnar, Thekkady, Alleppey, and Kovalam",Customizable,6 Days & 5 Nights,3 Star,8% Off,27140,29500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (1D)Trivandrum (1D),"Thekkady, Alleppey, Kovalam, Trivandrum",Munnar,,6,5,8.0,3
5-Day Enchanting Kerala Tour with Waterfalls and Backwaters,Customizable,5 Days & 4 Nights,3 Star,15% Off,22865,26900.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,15.0,3
4-Day Romantic Kerala Tour: Munnar & Houseboat Bliss,Customizable,4 Days & 3 Nights,3 Star,11% Off,44447,49940.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,11.0,3
5-Day Blissful Kerala Tour with Munnar and Alleppey,Customizable,5 Days & 4 Nights,3 Star,15% Off,32997,38820.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,15.0,3
4-Day Kerala Tour: Munnar & Alleppey Houseboat Experience,Customizable,4 Days & 3 Nights,4 Star,14% Off,25938,30160.0,Munnar (2D)Alleppey (1D)Cochin (1D),"Alleppey, Cochin",Munnar,,4,3,14.0,4
"5-Day Kerala Tour: Munnar, Thekkady, Alleppey Adventure",Customizable,5 Days & 4 Nights,4 Star,10% Off,64350,71500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,10.0,4
4-Day Kerala Tour with Munnar and Alleppey,Customizable,4 Days & 3 Nights,4 Star,8% Off,11592,12600.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,8.0,4
4-Day Kerala Tour with Munnar & Cochin Highlights,Customizable,4 Days & 3 Nights,3 Star,13% Off,90915,104500.0,Munnar (2D)Cochin (2D),,"Munnar, Cochin",,4,3,13.0,3
5-Day Kerala Tour with Munnar and Backwater Houseboat Experience,Customizable,5 Days & 4 Nights,3 Star,8% Off,20792,22600.0,Munnar (2D)Kumarakom (2D)Kochi (1D),Kochi,"Munnar, Kumarakom",,5,4,8.0,3
4-Day Kerala Tour Package: Munnar and Alleppey,Customizable,4 Days & 3 Nights,3 Star,15% Off,42925,50500.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,15.0,3
"9-Day Kerala Adventure with Munnar, Backwaters, and Beaches",Customizable,9 Days & 8 Nights,3 Star,11% Off,10591,11900.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Varkala (2D)Kovalam (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Munnar, Varkala, Kovalam",,9,8,11.0,3
Kerala 3-Day Tour with Munnar's Scenic Delights,Customizable,3 Days & 2 Nights,4 Star,12% Off,114400,130000.0,Munnar (2D)Kochi (1D),Kochi,Munnar,,3,2,12.0,4
"7-Day Scenic Kerala Tour with Waterfalls, Wildlife, and Beaches",Customizable,7 Days & 6 Nights,4 Star,12% Off,30096,34200.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Munnar, Kovalam",,7,6,12.0,4
"5-Day Kerala Tour with Munnar, Thekkady, and Alleppey",Customizable,5 Days & 4 Nights,3 Star,14% Off,41280,48000.0,Kochi (2D)Munnar (1D)Thekkady (1D)Alleppey (1D),"Munnar, Thekkady, Alleppey",Kochi,,5,4,14.0,3
9-Day Kerala Tour with Munnar and Alleppey,Customizable,9 Days & 8 Nights,3 Star,10% Off,55440,61600.0,Kochi (2D)Munnar (2D)Thekkady (1D)Alleppey (1D)Varkala (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Kochi, Munnar, Varkala",,9,8,10.0,3
"6-Day Memorable Kerala Tour with Munnar, Thekkady, and Backwaters",Customizable,6 Days & 5 Nights,4 Star,12% Off,9300,10568.0,Kochi (2D)Munnar (2D)Thekkady (1D)Alleppey (1D),"Thekkady, Alleppey","Kochi, Munnar",,6,5,12.0,4
Thrissur Tour Package For 3 Nights 4 Days,Customizable,4 Days & 3 Nights,3 Star,15% Off,15980,18800.0,Wayanad (2D)Thrissur (2D),,"Wayanad, Thrissur",,4,3,15.0,3
4-Day Kerala Tour: Munnar to Alleppey,Customizable,4 Days & 3 Nights,3 Star,10% Off,21060,23400.0,Munnar (2D)Alleppey (1D)Kochi (1D),"Alleppey, Kochi",Munnar,,4,3,10.0,3
4-Day Scenic Kerala Tour with Munnar Highlights,Customizable,4 Days & 3 Nights,3 Star,10% Off,60750,67500.0,Munnar (3D)Cochin (1D),Cochin,,Munnar,4,3,10.0,3
"7-Day Kerala Tour with Munnar, Thekkady, and Houseboat",Customizable,7 Days & 6 Nights,4 Star,10% Off,36000,40000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Munnar, Kovalam",,7,6,10.0,4
Discover the Best of Kerala with This 6-Day Tour,Customizable,6 Days & 5 Nights,3 Star,8% Off,74888,81400.0,Athirapally (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Athirapally, Thekkady, Alleppey, Cochin",Munnar,,6,5,8.0,3
6-Day Kerala Tour with Houseboat Stay and Munnar Adventure,Customizable,6 Days & 5 Nights,4 Star,9% Off,24934,27400.0,Kovalam (2D)Alleppey (1D)Munnar (2D)Cochin (1D),"Alleppey, Cochin","Kovalam, Munnar",,6,5,9.0,4
4-Day Romantic Kerala Tour with Munnar and Houseboat Stay,Customizable,4 Days & 3 Nights,4 Star,14% Off,52030,60500.0,Munnar (2D)Kumarakom (1D)Cochin (1D),"Kumarakom, Cochin",Munnar,,4,3,14.0,4
"6-Day Kerala Tour: Munnar, Alleppey, and Kovalam Experience",Customizable,6 Days & 5 Nights,3 Star,8% Off,15548,16900.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (1D)Kochi (1D),"Thekkady, Alleppey, Kovalam, Kochi",Munnar,,6,5,8.0,3
4-Day Scenic Kerala Tour with Munnar Highlights,Customizable,4 Days & 3 Nights,3 Star,14% Off,14749,17150.0,Munnar (3D)Kochi (1D),Kochi,,Munnar,4,3,14.0,3
3-Day Scenic Kerala Tour with Munnar Highlights,Customizable,3 Days & 2 Nights,4 Star,15% Off,40290,47400.0,Munnar (2D)Cochin (1D),Cochin,Munnar,,3,2,15.0,4
6-Day Captivating Kerala Tour with Kanyakumari & Varkala,Customizable,6 Days & 5 Nights,3 Star,10% Off,39150,43500.0,Varkala (2D)Trivandrum (2D),,"Varkala, Trivandrum",,6,5,10.0,3
6-Day Kerala Tour with Houseboat and Wildlife,Customizable,6 Days & 5 Nights,3 Star,15% Off,16830,19800.0,Kochi (2D)Munnar (2D)Thekkady (1D)Alleppey (1D),"Thekkady, Alleppey","Kochi, Munnar",,6,5,15.0,3
4-Day Scenic Kerala Tour: Munnar to Alleppey,Customizable,4 Days & 3 Nights,3 Star,8% Off,61640,67000.0,Munnar (2D)Alleppey (1D)Cochin (1D),"Alleppey, Cochin",Munnar,,4,3,8.0,3
"7-Day Kerala Tour with Munnar, Thekkady, and Houseboat Stay",Customizable,7 Days & 6 Nights,4 Star,11% Off,16029,18010.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (2D)Trivandrum (1D),"Thekkady, Alleppey, Trivandrum","Munnar, Kovalam",,7,6,11.0,4
3-Day Scenic Kerala Tour with Munnar Highlights,Customizable,3 Days & 2 Nights,4 Star,12% Off,15752,17900.0,Munnar (2D)Cochin (1D),Cochin,Munnar,,3,2,12.0,4
3-Day Kerala Tour: Munnar's Tea Gardens & Waterfalls,Customizable,3 Days & 2 Nights,3 Star,10% Off,27000,30000.0,Munnar (2D)Cochin (1D),Cochin,Munnar,,3,2,10.0,3
5-Day Kerala Tour with Munnar and Alleppey Houseboat Adventure,Customizable,5 Days & 4 Nights,4 Star,13% Off,34800,40000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,13.0,4
"5-Day Kerala Tour: Munnar, Thekkady, and Alleppey Adventure",Customizable,5 Days & 4 Nights,4 Star,14% Off,23134,26900.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,14.0,4
3-Day Kerala Tour: Munnar's Scenic Beauty,Customizable,3 Days & 2 Nights,4 Star,11% Off,69954,78600.0,Munnar (2D)Kochi (1D),Kochi,Munnar,,3,2,11.0,4
5-Day Kerala Tour with Munnar and Houseboat,Customizable,5 Days & 4 Nights,3 Star,14% Off,84710,98500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,14.0,3
6-Day Kerala Tour with Houseboat and Beach Experience,Customizable,6 Days & 5 Nights,3 Star,14% Off,31390,36500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (1D)Trivandrum (1D),"Thekkady, Alleppey, Kovalam, Trivandrum",Munnar,,6,5,14.0,3
"6-Day Kerala Tour: Munnar, Thekkady, Alleppey & Kovalam",Customizable,6 Days & 5 Nights,4 Star,8% Off,34040,37000.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kovalam (1D)Trivandrum (1D),"Thekkady, Alleppey, Kovalam, Trivandrum",Munnar,,6,5,8.0,4
4-Day Scenic Kerala Tour with Tea Gardens and Backwaters,Customizable,4 Days & 3 Nights,3 Star,8% Off,13616,14800.0,Munnar (2D)Alleppey (1D)Cochin (1D),"Alleppey, Cochin",Munnar,,4,3,8.0,3
2-Day Kerala Tour with Houseboat Adventure,Customizable,2 Days & 1 Nights,3 Star,14% Off,51170,59500.0,Alleppey (1D)Cochin (1D),"Alleppey, Cochin",,,2,1,14.0,3
"Kerala Tour Package: Munnar, Thekkady, and Alleppey",Customizable,5 Days & 4 Nights,4 Star,8% Off,47104,51200.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Cochin (1D),"Thekkady, Alleppey, Cochin",Munnar,,5,4,8.0,4
"6-Day Kerala Tour with Munnar, Thekkady, and Houseboat Experience",Customizable,6 Days & 5 Nights,3 Star,9% Off,44772,49200.0,Munnar (2D)Thekkady (1D)Kumarakom (1D)Cherai (1D)Cochin (1D),"Thekkady, Kumarakom, Cherai, Cochin",Munnar,,6,5,9.0,3
"7-Day Kerala Tour: Munnar, Thekkady, Alleppey, Varkala, Kovalam",Customizable,7 Days & 6 Nights,5 Star,15% Off,48025,56500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Varkala (1D)Kovalam (1D)Trivandrum (1D),"Thekkady, Alleppey, Varkala, Kovalam, Trivandrum",Munnar,,7,6,15.0,5
7-Day Kerala and Kodaikanal Tour Package,Customizable,7 Days & 6 Nights,4 Star,12% Off,23760,27000.0,Alleppey (1D)Thekkady (1D)Munnar (2D),"Alleppey, Thekkady",Munnar,,7,6,12.0,4
"5-Day Kerala Tour with Munnar, Thekkady, and Alleppey Houseboat",Customizable,5 Days & 4 Nights,4 Star,15% Off,32725,38500.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,15.0,4
5-Day Kerala Tour with Munnar & Alleppey Houseboat,Customizable,5 Days & 4 Nights,3 Star,14% Off,43688,50800.0,Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Thekkady, Alleppey, Kochi",Munnar,,5,4,14.0,3
6-Day Kerala Tour From Munnar To Kovalam,Customizable,6 Days & 5 Nights,4 Star,12% Off,26664,30300.0,Munnar (2D)Thekkady (1D)Varkala (1D)Kovalam (1D)Trivandrum (1D),"Thekkady, Varkala, Kovalam, Trivandrum",Munnar,,6,5,12.0,4
4-Day Kerala Tour with Munnar and Houseboat Experience,Customizable,4 Days & 3 Nights,3 Star,11% Off,32574,36600.0,Munnar (2D)Alleppey (1D)Cochin (1D),"Alleppey, Cochin",Munnar,,4,3,11.0,3
Experience the Best of Kerala with Our 6-Day Tour Package,Customizable,6 Days & 5 Nights,3 Star,8% Off,47380,51500.0,Cherai (1D)Munnar (2D)Thekkady (1D)Alleppey (1D)Kochi (1D),"Cherai, Thekkady, Alleppey, Kochi",Munnar,,6,5,8.0,3
"6-Day Kerala, Mysore & Coorg Adventure Tour",Customizable,6 Days & 5 Nights,3 Star,10% Off,50580,56200.0,,,,,6,5,10.0,3
