record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs,ai_automation_impact,ai_replacement_risk,open_roles,hiring_trend,remote_jobs_percentage,top_hiring_role,stock_growth_percent,revenue_growth_percent,salary_budget_change,ai_adoption_level,employee_sentiment,job_security_score,market_condition
T2513,Anthropic,Cloud,India,Big Tech,Jan,2024,451.0,5.8,Overhiring Correction,,,584.0,Hiring Freeze,25.9,Software Engineer,-7.3,30.8,14.1,5.4,7.2,7.3,Bull Market
T2514,Uber,Cybersecurity,UK,Mid-size,Mar,2026,2730.0,31.3,Cost Cutting,5.6,10.0,157.0,Downsizing,26.5,Product Manager,15.5,59.6,7.7,4.7,4.8,4.5,Recession
T2515,Meta,FinTech,,Enterprise,May,2026,1908.0,2.9,Cost Cutting,,10.0,3117.0,Moderate Hiring,20.0,DevOps Engineer,30.4,17.6,5.9,8.9,6.9,5.3,Stable
T2516,Apple,Social Media,Canada,Startup,Jun,2026,732.0,,Overhiring Correction,1.6,3.6,5829.0,Hiring Freeze,60.9,Frontend Developer,-3.2,3.1,-8.2,1.3,7.3,6.9,Bull Market
T2517,Uber,Social Media,USA,Mid-size,Mar,2024,8188.0,39.5,Cost Cutting,6.8,10.0,848.0,Downsizing,30.9,Software Engineer,-0.6,-3.4,-19.5,6.3,3.4,1.0,Recession
T2518,Meta,FinTech,Singapore,,Mar,2026,70.0,5.7,Restructuring,,3.5,4597.0,Hiring Freeze,27.2,,32.8,21.6,2.9,1.0,8.0,8.2,Bull Market
T2519,OpenAI,FinTech,India,Startup,Dec,2024,1547.0,8.6,AI Automation,2.1,4.9,5449.0,Moderate Hiring,14.9,Cybersecurity Analyst,42.1,-11.4,-9.8,1.4,5.3,6.5,Bull Market
T2520,Apple,Cybersecurity,USA,Big Tech,Jul,2025,4293.0,11.1,Restructuring,3.7,5.3,1501.0,Hiring Freeze,75.8,Software Engineer,50.1,-19.3,-18.8,2.8,6.3,6.1,Stable
T2521,Uber,AI,Singapore,Startup,Aug,2025,5518.0,,Restructuring,9.5,,7178.0,Aggressive Hiring,64.0,ML Engineer,4.6,-21.6,1.1,,4.3,5.4,Stable
T2522,Intel,E-Commerce,Canada,,Mar,2024,7080.0,37.6,AI Automation,8.0,10.0,1694.0,Downsizing,64.2,Product Manager,47.8,53.5,19.2,8.9,7.4,3.7,Recession
T2523,Netflix,Cybersecurity,USA,Big Tech,Aug,2025,19757.0,9.8,Restructuring,5.8,,1808.0,Hiring Freeze,,Data Scientist,83.8,-9.1,-10.3,5.8,7.2,5.0,
T2524,Databricks,AI,India,Mid-size,May,2024,1813.0,2.6,Overhiring Correction,1.7,1.2,4858.0,Hiring Freeze,31.0,ML Engineer,86.2,19.3,0.2,1.9,6.2,7.9,Bull Market
T2525,Spotify,AI,Canada,Big Tech,Mar,2026,6072.0,5.7,AI Automation,8.6,4.6,3015.0,Moderate Hiring,86.6,ML Engineer,-24.6,-21.4,-9.3,5.9,6.0,5.9,Stable
T2526,Uber,AI,Germany,Big Tech,Jun,2025,2325.0,1.6,Overhiring Correction,1.7,3.4,3781.0,Hiring Freeze,27.0,ML Engineer,73.5,56.5,18.5,2.2,7.8,8.6,Bull Market
T2527,Intel,Gaming,Germany,Big Tech,Jul,2024,951.0,1.0,Restructuring,4.0,4.5,2007.0,Moderate Hiring,36.8,Software Engineer,50.7,54.0,28.4,5.5,,9.1,Stable
T2528,Apple,AI,Canada,Big Tech,Jan,2025,4539.0,17.9,Overhiring Correction,2.4,7.5,5783.0,Moderate Hiring,74.1,Data Scientist,-13.4,35.9,4.7,3.9,5.0,5.9,Stable
T2529,Adobe,Gaming,,Enterprise,Aug,2025,19059.0,34.4,Restructuring,10.6,10.0,1025.0,Downsizing,33.3,Software Engineer,29.1,7.4,-7.0,9.2,6.1,2.0,Recession
T2530,Uber,Social Media,UK,,Oct,2025,19559.0,30.6,Market Slowdown,7.2,8.7,134.0,Downsizing,68.3,Product Manager,-2.6,31.7,-0.4,4.6,,3.5,Recession
T2531,Google,FinTech,Singapore,Big Tech,Apr,2024,1359.0,3.7,Cost Cutting,5.9,7.8,542.0,Hiring Freeze,46.0,DevOps Engineer,-42.4,32.0,,7.7,6.1,7.5,Bull Market
T2532,NVIDIA,Cloud,Germany,Startup,Mar,2025,1979.0,9.5,Cost Cutting,2.3,4.6,5968.0,Hiring Freeze,83.7,Cloud Engineer,87.0,49.2,10.2,2.4,7.4,8.5,Bull Market
T2533,Oracle,Social Media,,Enterprise,May,2026,10483.0,31.2,Cost Cutting,1.1,7.8,1267.0,Downsizing,61.7,Cybersecurity Analyst,-21.1,9.3,-11.7,1.7,,3.7,
T2534,Microsoft,Social Media,Canada,Startup,Oct,2026,7091.0,30.5,Overhiring Correction,11.4,10.0,324.0,Downsizing,70.6,DevOps Engineer,-22.8,17.7,-0.2,9.5,4.2,4.4,Recession
T2535,Microsoft,Social Media,Canada,Big Tech,Dec,2025,163.0,2.0,AI Automation,9.0,8.8,593.0,Moderate Hiring,10.2,Product Manager,25.3,53.4,17.6,5.5,6.9,7.9,Bull Market
T2536,Databricks,Cybersecurity,Singapore,Big Tech,Apr,2026,974.0,,Market Slowdown,7.8,5.1,2533.0,Moderate Hiring,16.9,Product Manager,20.2,55.4,21.4,7.4,7.4,9.3,Stable
T2537,Airbnb,Cloud,Singapore,Enterprise,Jun,2026,220.0,6.1,AI Automation,2.8,3.5,3791.0,Hiring Freeze,52.2,ML Engineer,18.7,52.8,25.6,2.3,,9.2,Stable
T2538,Intel,Cybersecurity,India,Mid-size,Apr,2024,403.0,3.4,Cost Cutting,8.9,5.0,1224.0,Moderate Hiring,29.3,Cloud Engineer,27.3,8.3,12.1,8.2,7.2,7.2,Bull Market
T2539,Amazon,AI,Singapore,Enterprise,Jul,2024,14806.0,19.5,Market Slowdown,2.1,6.2,2155.0,,36.1,Data Scientist,35.3,22.6,-4.0,,5.8,6.3,Recession
T2540,Spotify,FinTech,Germany,Big Tech,Aug,2025,6829.0,15.4,Restructuring,7.3,10.0,210.0,Hiring Freeze,49.1,Cloud Engineer,17.2,-14.3,-7.1,8.9,4.0,4.5,Recession
T2541,NVIDIA,Cybersecurity,Singapore,Enterprise,Apr,2025,13068.0,30.2,Cost Cutting,2.1,7.7,516.0,Downsizing,37.8,Cybersecurity Analyst,58.4,-8.3,-18.0,2.5,5.5,3.0,Recession
T2542,Oracle,FinTech,Canada,Big Tech,Jul,2026,3875.0,13.1,Overhiring Correction,12.5,10.0,4669.0,Moderate Hiring,,Frontend Developer,12.6,52.4,17.7,9.5,6.0,5.9,Stable
T2543,Anthropic,E-Commerce,USA,Big Tech,Mar,2024,2499.0,1.0,Cost Cutting,5.5,7.1,508.0,Hiring Freeze,,Cloud Engineer,-41.4,6.0,-3.8,6.4,8.7,7.6,Bull Market
T2544,Salesforce,FinTech,,Startup,Oct,2025,1082.0,8.4,Overhiring Correction,11.1,10.0,1213.0,Moderate Hiring,64.5,Software Engineer,10.3,-12.7,2.1,7.6,5.8,5.4,Recession
T2545,Adobe,Cybersecurity,USA,Enterprise,Oct,2024,805.0,2.8,Market Slowdown,7.3,9.4,3296.0,Moderate Hiring,49.4,Frontend Developer,-12.7,7.1,0.3,4.9,6.5,6.1,Bull Market
T2546,Intel,Cybersecurity,Germany,Big Tech,Mar,2024,1924.0,11.9,,2.5,3.5,4858.0,Hiring Freeze,20.4,DevOps Engineer,14.9,-24.3,-8.6,2.6,5.5,5.4,Stable
T2547,Google,E-Commerce,UK,Mid-size,Dec,2026,680.0,8.6,AI Automation,13.0,10.0,5586.0,Moderate Hiring,11.5,Cybersecurity Analyst,,-19.9,-13.7,8.4,,4.0,Bull Market
T2548,Spotify,Cloud,Germany,Startup,Nov,2025,1479.0,14.8,Overhiring Correction,14.4,8.3,508.0,Hiring Freeze,38.3,Software Engineer,20.5,-7.5,-0.0,,,4.2,Stable
T2549,Stripe,Cloud,India,Mid-size,May,2025,4229.0,7.1,Market Slowdown,2.0,5.0,2852.0,Hiring Freeze,19.5,Data Scientist,43.6,45.2,13.2,1.6,9.0,8.0,Stable
T2550,Uber,Social Media,USA,,Apr,2026,4253.0,33.9,Restructuring,3.7,10.0,176.0,Downsizing,77.8,Frontend Developer,-40.1,49.8,18.3,4.1,5.2,3.5,Recession
T2551,Airbnb,AI,Singapore,Startup,Aug,2026,264.0,5.2,Market Slowdown,9.9,5.6,1010.0,Hiring Freeze,57.4,ML Engineer,-34.8,-10.8,-0.6,7.1,5.0,5.6,Bull Market
T2552,Netflix,Cloud,USA,Startup,Feb,2026,1859.0,8.6,Market Slowdown,7.1,10.0,2398.0,Hiring Freeze,82.5,DevOps Engineer,10.5,14.6,5.7,7.3,7.3,4.9,Stable
T2553,Salesforce,Cloud,India,,Dec,2024,19164.0,13.4,Restructuring,8.0,7.9,1619.0,Hiring Freeze,69.5,Cloud Engineer,-17.3,34.8,14.7,,5.9,6.1,Recession
T2554,Anthropic,Gaming,Germany,Enterprise,Jan,2024,249.0,2.5,Restructuring,4.6,5.9,3925.0,Moderate Hiring,45.2,DevOps Engineer,-31.2,3.6,-5.4,5.1,8.1,7.3,Stable
T2555,Uber,Social Media,India,Startup,Jun,2026,5181.0,20.3,Cost Cutting,5.1,7.6,1066.0,Downsizing,30.7,Frontend Developer,-42.1,24.1,-1.1,4.8,4.1,4.4,Recession
T2556,Airbnb,E-Commerce,Germany,Big Tech,Jul,2026,1914.0,0.4,Market Slowdown,5.9,6.6,2883.0,Hiring Freeze,30.3,,-5.2,48.1,24.8,3.8,,7.3,Bull Market
T2557,Oracle,Cloud,India,Big Tech,May,2024,667.0,1.8,AI Automation,8.5,6.4,4679.0,Moderate Hiring,35.3,Data Scientist,-39.6,-18.2,-9.7,5.1,5.5,5.8,Bull Market
T2558,Intel,Gaming,India,Big Tech,Jan,2025,4983.0,37.7,Market Slowdown,3.2,,817.0,Downsizing,22.3,,,6.2,-8.1,4.6,3.5,2.5,Recession
T2559,Anthropic,Social Media,USA,Startup,Aug,2026,103.0,4.8,Cost Cutting,6.5,7.1,5239.0,Moderate Hiring,75.5,ML Engineer,-15.1,15.9,17.1,4.5,6.4,,Bull Market
T2560,Apple,AI,UK,Mid-size,Nov,2024,4442.0,9.4,AI Automation,1.8,3.3,2421.0,Hiring Freeze,16.9,Data Scientist,-10.4,27.0,1.8,1.2,6.6,6.4,Stable
T2561,Oracle,AI,Canada,Enterprise,Apr,2025,531.0,1.4,,8.0,7.1,4911.0,Moderate Hiring,,ML Engineer,46.6,-18.7,,6.2,4.7,6.0,Bull Market
T2562,Amazon,E-Commerce,India,Startup,Apr,2025,459.0,2.6,Overhiring Correction,15.9,,,,65.2,Data Scientist,-6.9,-0.5,11.3,10.0,,5.2,Bull Market
T2563,,FinTech,Singapore,Mid-size,Mar,2026,4415.0,,AI Automation,4.3,8.7,1270.0,Hiring Freeze,63.9,Frontend Developer,-15.0,49.7,21.8,5.7,7.3,5.7,Recession
T2564,Databricks,Social Media,India,Big Tech,Mar,2026,734.0,6.0,Market Slowdown,4.6,8.8,2414.0,Hiring Freeze,57.8,Cybersecurity Analyst,38.4,-16.8,-13.7,4.1,4.8,4.9,Bull Market
T2565,Databricks,FinTech,Singapore,Mid-size,Mar,2024,1553.0,3.1,Restructuring,7.9,9.1,4805.0,Moderate Hiring,,ML Engineer,42.4,16.6,9.9,6.3,7.3,5.5,Bull Market
T2566,Airbnb,Social Media,Canada,Mid-size,Jan,2025,2423.0,35.1,Market Slowdown,12.6,10.0,873.0,Downsizing,73.7,ML Engineer,-20.6,30.9,,7.6,3.8,4.2,Recession
T2567,OpenAI,Social Media,,Mid-size,Mar,2024,109.0,11.8,Restructuring,7.0,10.0,,Hiring Freeze,86.6,Product Manager,-18.2,-0.1,0.7,,,5.3,Stable
T2568,Oracle,AI,Canada,Enterprise,Jul,2024,,2.5,AI Automation,5.1,10.0,7472.0,Aggressive Hiring,48.1,Data Scientist,-17.7,18.7,5.1,8.1,6.1,7.2,Bull Market
T2569,Palantir,E-Commerce,USA,Mid-size,Feb,2026,4552.0,5.9,Cost Cutting,6.4,7.6,5930.0,Moderate Hiring,55.3,DevOps Engineer,-19.4,-1.4,,8.4,7.6,6.8,Stable
T2570,Uber,E-Commerce,USA,Startup,Feb,2024,1930.0,6.8,,4.5,5.9,2564.0,Hiring Freeze,77.4,DevOps Engineer,4.4,1.4,-7.2,2.7,7.0,6.3,Bull Market
T2571,Microsoft,FinTech,Singapore,,Dec,2024,14502.0,16.3,Restructuring,4.9,6.7,803.0,Hiring Freeze,39.3,ML Engineer,-18.2,-8.1,-13.1,4.8,5.9,5.2,Recession
T2572,Oracle,Social Media,UK,Enterprise,Apr,2025,6670.0,3.9,,,9.5,1663.0,Moderate Hiring,42.5,DevOps Engineer,39.6,58.0,20.6,7.3,10.0,7.2,
T2573,Spotify,Cloud,India,Mid-size,Mar,2024,493.0,9.3,,8.3,8.8,2418.0,,45.9,ML Engineer,11.6,2.9,8.3,6.6,7.9,6.3,Bull Market
T2574,Google,Social Media,USA,,Jun,2026,1526.0,9.1,Overhiring Correction,6.6,8.5,4795.0,,31.5,ML Engineer,,59.7,29.4,4.8,6.2,6.9,Stable
T2575,Apple,Social Media,Singapore,Mid-size,Jul,2024,1619.0,6.8,Restructuring,4.9,4.3,719.0,Downsizing,,Cybersecurity Analyst,62.2,46.7,27.5,3.2,6.7,8.3,Bull Market
T2576,Netflix,Gaming,Canada,Enterprise,Nov,2024,2281.0,2.7,Restructuring,8.9,2.7,4830.0,Moderate Hiring,48.9,Cybersecurity Analyst,-4.2,-2.6,10.1,5.7,8.2,7.7,Bull Market
T2577,Airbnb,Gaming,Singapore,Big Tech,Nov,2024,144.0,6.5,Overhiring Correction,1.9,2.9,2030.0,Moderate Hiring,40.2,Data Scientist,75.3,59.7,32.3,2.9,9.0,8.4,Bull Market
T2578,Meta,FinTech,Germany,Big Tech,Apr,2024,1715.0,1.0,Restructuring,2.2,1.7,2598.0,Hiring Freeze,,,57.5,46.7,24.0,1.5,9.4,8.7,Stable
T2579,Salesforce,Cloud,Canada,Enterprise,Mar,2024,559.0,1.0,AI Automation,8.2,6.5,3022.0,Aggressive Hiring,34.8,Cybersecurity Analyst,68.8,-8.6,-6.5,9.5,7.2,7.0,Bull Market
T2580,Airbnb,,Germany,Mid-size,Sep,2025,1815.0,16.3,Restructuring,11.2,10.0,338.0,Hiring Freeze,64.4,Software Engineer,-34.9,16.6,-0.2,9.7,7.1,5.4,Stable
T2581,Airbnb,Cybersecurity,Singapore,,Jul,2024,18753.0,31.8,Market Slowdown,10.2,10.0,1927.0,,52.9,Cybersecurity Analyst,-22.7,28.0,4.7,8.6,6.5,4.0,Recession
T2582,Spotify,Gaming,Germany,Startup,May,2026,1482.0,6.7,AI Automation,2.8,1.3,1865.0,Moderate Hiring,50.2,,32.1,11.0,-6.5,2.0,5.3,7.6,Stable
T2583,Netflix,Social Media,Singapore,,Jul,2026,2311.0,6.7,,6.8,6.7,4883.0,Moderate Hiring,52.2,Data Scientist,0.5,52.2,20.6,5.4,8.1,7.9,Stable
T2584,Amazon,AI,Canada,Enterprise,May,2024,5542.0,9.7,Overhiring Correction,2.1,5.5,4765.0,Moderate Hiring,,Data Scientist,-38.9,42.1,15.7,1.6,8.8,6.6,Stable
T2585,Amazon,Cybersecurity,Singapore,Big Tech,Oct,2025,5126.0,32.1,Restructuring,10.6,10.0,1670.0,Downsizing,40.6,Product Manager,89.2,-0.8,-1.8,7.4,3.3,3.5,Recession
T2586,Palantir,E-Commerce,UK,Mid-size,Jan,2024,475.0,3.4,AI Automation,2.7,5.4,5319.0,Aggressive Hiring,70.1,DevOps Engineer,-28.9,-1.8,4.2,4.5,5.6,5.6,Bull Market
T2587,Spotify,Cloud,Germany,Mid-size,Feb,2026,12441.0,8.1,Restructuring,1.8,5.3,230.0,Hiring Freeze,49.4,Software Engineer,-30.8,48.0,10.8,2.0,6.2,7.0,Recession
T2588,Microsoft,Cloud,Singapore,Startup,Feb,2024,1586.0,6.4,Overhiring Correction,0.9,3.5,2982.0,Hiring Freeze,49.4,Cloud Engineer,-33.4,39.7,14.8,1.0,8.0,8.2,
T2589,Airbnb,Gaming,Singapore,Big Tech,Aug,2026,10721.0,25.2,Overhiring Correction,5.1,10.0,757.0,Hiring Freeze,10.2,Frontend Developer,83.6,-3.2,0.2,5.5,4.7,3.7,Recession
T2590,SAP,E-Commerce,USA,Big Tech,Mar,2025,1516.0,3.7,Restructuring,9.8,10.0,4481.0,Aggressive Hiring,77.8,Data Scientist,-20.0,-12.9,4.9,9.0,6.5,5.5,Bull Market
T2591,OpenAI,Cloud,USA,Mid-size,Nov,2025,1063.0,2.5,AI Automation,11.8,6.5,1756.0,,54.5,DevOps Engineer,3.8,31.7,17.3,8.3,7.9,7.4,Bull Market
T2592,SAP,FinTech,Singapore,Big Tech,Jun,2024,16394.0,19.5,Cost Cutting,9.4,10.0,242.0,Hiring Freeze,85.7,Frontend Developer,55.3,-24.9,-8.4,9.5,4.7,3.2,Recession
T2593,Stripe,Social Media,Singapore,Enterprise,Oct,2024,412.0,3.9,Restructuring,5.6,5.0,5415.0,Moderate Hiring,24.4,Data Scientist,85.4,15.4,9.4,8.5,8.0,7.4,
T2594,Salesforce,FinTech,India,Startup,Mar,2024,10774.0,12.9,AI Automation,4.3,7.9,268.0,Hiring Freeze,59.9,Cybersecurity Analyst,33.6,16.2,0.8,5.5,5.6,,
T2595,Apple,AI,India,Startup,Jun,2024,15685.0,29.4,Market Slowdown,8.9,10.0,9304.0,Moderate Hiring,47.1,ML Engineer,72.8,48.6,10.9,6.7,5.8,4.4,Recession
T2596,OpenAI,Gaming,Germany,Enterprise,May,2025,4585.0,11.5,AI Automation,4.6,9.2,948.0,Hiring Freeze,52.2,DevOps Engineer,-30.4,46.2,21.5,5.0,6.3,7.3,Stable
T2597,Meta,AI,India,Big Tech,Jul,2025,19202.0,8.7,Market Slowdown,0.9,3.8,7414.0,Moderate Hiring,41.4,Data Scientist,53.8,0.5,7.6,1.2,7.8,6.0,Recession
T2598,Palantir,Social Media,Germany,Big Tech,Oct,2025,2225.0,,Overhiring Correction,6.8,8.3,5260.0,Moderate Hiring,27.7,Cloud Engineer,13.6,37.4,19.0,7.1,6.0,6.4,Stable
T2599,SAP,FinTech,USA,Big Tech,Jun,2025,1993.0,1.4,,,5.6,3787.0,,30.4,Frontend Developer,-20.7,,11.4,,9.2,8.2,Bull Market
T2600,Spotify,Gaming,UK,Startup,Apr,2025,2013.0,3.8,Market Slowdown,13.1,,5506.0,Aggressive Hiring,46.8,Frontend Developer,59.7,49.0,22.4,9.6,7.6,8.6,Bull Market
T2601,Airbnb,E-Commerce,India,Startup,May,2026,17512.0,30.9,Restructuring,2.5,8.1,1038.0,,25.7,Frontend Developer,,16.1,-1.1,3.1,5.7,4.4,Recession
T2602,Databricks,Cloud,Germany,Big Tech,Nov,2026,1753.0,4.3,Market Slowdown,4.4,6.8,704.0,Hiring Freeze,11.3,Data Scientist,-37.6,51.2,24.6,4.0,9.4,,Bull Market
T2603,Apple,Cybersecurity,Singapore,Big Tech,Apr,2024,1668.0,4.2,Market Slowdown,9.6,9.1,4106.0,Moderate Hiring,89.7,,18.6,39.2,14.7,8.7,6.6,6.2,Bull Market
T2604,Stripe,E-Commerce,Singapore,Startup,Jun,2024,1534.0,6.6,Cost Cutting,4.2,6.4,4179.0,Moderate Hiring,24.3,Cybersecurity Analyst,-16.6,41.3,11.5,5.8,8.2,7.6,Bull Market
T2605,Anthropic,Cloud,Germany,Big Tech,Jul,2025,12757.0,33.8,Cost Cutting,3.7,10.0,295.0,,21.6,Product Manager,,13.5,2.5,5.6,6.2,3.6,Recession
T2606,Amazon,Gaming,UK,Enterprise,Oct,2025,13178.0,10.0,Market Slowdown,2.3,6.6,1254.0,Hiring Freeze,89.7,,71.1,53.4,23.3,3.2,6.5,7.8,Recession
T2607,Adobe,E-Commerce,Singapore,Big Tech,Jun,2025,2264.0,7.8,Market Slowdown,1.6,1.0,4190.0,Hiring Freeze,19.5,Cloud Engineer,42.4,4.8,9.4,1.1,5.0,,Bull Market
T2608,Airbnb,FinTech,Singapore,Enterprise,Oct,2024,1663.0,6.1,Restructuring,0.8,1.1,1474.0,Hiring Freeze,32.0,Cloud Engineer,-18.7,34.9,18.1,1.1,6.1,8.5,Bull Market
T2609,Stripe,Cybersecurity,Canada,Mid-size,Dec,2025,9887.0,37.1,Market Slowdown,12.3,10.0,939.0,,28.1,Product Manager,4.1,-4.2,-14.6,9.7,4.8,1.4,Recession
T2610,Stripe,E-Commerce,UK,Mid-size,Jul,2025,15141.0,20.3,AI Automation,2.4,7.4,1274.0,Downsizing,26.8,Cloud Engineer,,5.8,0.5,2.5,6.1,5.2,Recession
T2611,Anthropic,Gaming,Singapore,Mid-size,Jan,2026,1741.0,5.4,Market Slowdown,5.3,6.0,3551.0,Moderate Hiring,61.8,Product Manager,-7.4,,,7.4,,7.8,Bull Market
T2612,,E-Commerce,India,Big Tech,Oct,2026,3798.0,16.4,Overhiring Correction,2.5,4.1,740.0,Hiring Freeze,64.9,Product Manager,-3.1,-23.7,-8.8,1.8,3.0,5.6,Recession
T2613,Anthropic,Cybersecurity,UK,Startup,Feb,2024,1756.0,9.6,Overhiring Correction,2.4,3.8,2685.0,Hiring Freeze,37.2,,54.4,46.1,20.6,1.5,8.2,7.1,Bull Market
T2614,SAP,Cloud,USA,Mid-size,Jan,2025,2320.0,1.9,Market Slowdown,14.1,6.3,2737.0,Moderate Hiring,69.4,DevOps Engineer,23.5,28.1,22.1,8.7,6.6,7.3,Bull Market
T2615,Adobe,Gaming,Canada,Enterprise,Nov,2026,1658.0,4.5,Restructuring,7.0,6.3,3253.0,Moderate Hiring,32.5,Cloud Engineer,74.6,29.1,8.4,6.6,,7.4,Bull Market
T2616,Intel,FinTech,Germany,Mid-size,Apr,2024,2301.0,7.9,AI Automation,4.2,3.4,2343.0,Hiring Freeze,71.7,Software Engineer,-9.3,-6.9,-11.0,3.0,5.1,5.6,Bull Market
T2617,Adobe,FinTech,Canada,Big Tech,Feb,2024,6683.0,14.5,Overhiring Correction,,10.0,3456.0,Moderate Hiring,28.4,Frontend Developer,-34.4,-14.8,-3.9,6.6,5.3,4.6,Stable
T2618,,Cybersecurity,USA,Startup,Feb,2024,187.0,8.7,AI Automation,3.3,4.2,5755.0,Moderate Hiring,74.2,Cybersecurity Analyst,-34.3,-11.0,3.9,4.8,6.2,6.2,Bull Market
T2619,Uber,Social Media,Germany,Enterprise,Sep,2026,1838.0,,Overhiring Correction,4.9,9.2,1831.0,Hiring Freeze,52.3,Cybersecurity Analyst,-18.7,30.8,3.6,4.8,9.1,6.6,Stable
T2620,NVIDIA,Cloud,UK,Enterprise,Jan,2026,,13.3,Restructuring,6.4,10.0,1991.0,Moderate Hiring,,DevOps Engineer,,-3.5,7.5,9.6,4.2,3.9,Recession
T2621,Amazon,Cybersecurity,Canada,Mid-size,Dec,2025,1727.0,5.6,Overhiring Correction,3.9,6.0,1903.0,Hiring Freeze,62.7,Cloud Engineer,-16.5,-12.3,-11.7,3.9,8.0,,Bull Market
T2622,Adobe,Cloud,UK,Enterprise,Apr,2024,6704.0,8.4,AI Automation,4.4,10.0,3748.0,Moderate Hiring,71.4,Frontend Developer,-16.4,14.7,8.4,6.3,8.2,6.3,Stable
T2623,Airbnb,Cybersecurity,Canada,Enterprise,May,2024,1291.0,,Cost Cutting,7.7,,5437.0,Moderate Hiring,34.3,Product Manager,76.9,-13.4,-6.1,4.8,5.1,5.6,Bull Market
T2624,Oracle,,Singapore,Mid-size,Apr,2025,1795.0,0.4,Restructuring,6.5,4.0,2049.0,Hiring Freeze,89.1,,39.2,-0.9,-0.3,4.6,7.1,7.4,Bull Market
T2625,Adobe,Cloud,UK,Big Tech,Jan,2025,1348.0,5.2,Cost Cutting,5.4,9.3,5235.0,Moderate Hiring,15.5,Data Scientist,-20.7,-22.4,-9.9,7.9,5.0,5.5,Bull Market
T2626,SAP,Social Media,Canada,Big Tech,Sep,2024,13251.0,15.1,AI Automation,5.6,9.9,1379.0,Hiring Freeze,39.9,Frontend Developer,88.1,5.1,-9.2,4.4,4.7,5.5,Recession
T2627,Palantir,Gaming,Singapore,Enterprise,Oct,2025,7630.0,16.5,Restructuring,8.0,10.0,65.0,Hiring Freeze,26.8,ML Engineer,24.7,21.3,1.1,7.3,,4.1,Recession
T2628,Stripe,AI,India,Startup,Aug,2025,12258.0,28.3,AI Automation,16.2,10.0,6516.0,Hiring Freeze,47.8,Data Scientist,-34.4,26.7,1.0,9.9,6.3,4.5,Recession
T2629,SAP,FinTech,India,,Jun,2024,3286.0,3.6,Cost Cutting,10.3,10.0,4400.0,Aggressive Hiring,50.2,Product Manager,14.4,46.2,21.7,8.7,6.5,6.3,Stable
T2630,Airbnb,Cybersecurity,UK,Startup,Sep,2026,1422.0,7.2,Market Slowdown,1.1,1.3,5087.0,Hiring Freeze,,ML Engineer,80.0,18.8,5.7,1.4,9.0,7.4,Bull Market
T2631,Oracle,E-Commerce,UK,Mid-size,Dec,2024,5364.0,10.0,,5.3,5.9,484.0,Hiring Freeze,10.2,Cybersecurity Analyst,,41.0,26.6,8.7,9.1,7.9,Stable
T2632,Uber,Cloud,Canada,Mid-size,Jan,2024,15065.0,14.0,AI Automation,1.9,5.7,1754.0,Hiring Freeze,47.9,Product Manager,62.3,43.9,18.3,1.3,5.5,6.5,Recession
T2633,Apple,FinTech,Germany,Startup,Jan,2024,1832.0,6.5,AI Automation,1.6,3.2,4256.0,Moderate Hiring,31.3,Product Manager,-31.7,22.6,10.3,1.4,6.0,,Bull Market
T2634,Airbnb,Cloud,UK,Big Tech,Feb,2026,3441.0,10.7,AI Automation,7.3,6.4,1867.0,Hiring Freeze,21.7,DevOps Engineer,72.0,13.5,7.6,6.5,7.9,6.2,Stable
T2635,Oracle,Gaming,Germany,Enterprise,Jul,2024,2009.0,,Restructuring,9.5,10.0,4854.0,Aggressive Hiring,45.9,DevOps Engineer,,,12.4,7.6,9.9,,Bull Market
T2636,Databricks,Cybersecurity,UK,Enterprise,Mar,2025,1807.0,9.5,Market Slowdown,5.0,4.9,896.0,Hiring Freeze,34.5,Software Engineer,39.2,24.8,,3.1,6.2,,Bull Market
T2637,Uber,AI,USA,Mid-size,Aug,2024,2392.0,0.6,Cost Cutting,7.7,5.5,8923.0,Aggressive Hiring,76.6,Data Scientist,11.5,21.9,19.4,5.4,6.9,8.1,Bull Market
T2638,Google,Cloud,UK,Mid-size,Sep,2025,358.0,2.6,Restructuring,16.1,10.0,463.0,Hiring Freeze,68.5,ML Engineer,,-12.1,9.0,9.9,5.1,5.5,Bull Market
T2639,Amazon,Gaming,Canada,Startup,Dec,2024,129.0,1.3,Cost Cutting,11.0,7.0,5815.0,Aggressive Hiring,57.4,DevOps Engineer,23.5,37.3,16.4,7.0,6.0,7.1,Bull Market
T2640,Apple,,USA,Enterprise,Dec,2025,2396.0,,Market Slowdown,8.5,8.9,,Moderate Hiring,18.5,DevOps Engineer,-7.9,36.7,6.4,9.5,6.4,6.7,Bull Market
T2641,Palantir,E-Commerce,Singapore,,Jun,2025,3942.0,3.7,Restructuring,7.0,5.4,2736.0,Moderate Hiring,42.6,DevOps Engineer,69.6,-15.8,-3.2,5.9,7.1,6.6,Stable
T2642,Microsoft,Cybersecurity,Canada,Mid-size,Jul,2025,6919.0,2.0,Overhiring Correction,4.6,2.8,4158.0,Moderate Hiring,12.5,Software Engineer,1.7,32.1,11.8,6.3,6.0,7.6,Stable
